GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ims,com.qa.ims.controller,ItemController,0,109,0,2,0,29,0,7,0,6
ims,com.qa.ims.controller,Action,179,0,10,0,26,0,10,0,5,0
ims,com.qa.ims.controller,CustomerController,0,109,0,2,0,29,0,7,0,6
ims,com.qa.ims.controller,OrderController,8,169,1,3,2,44,1,10,0,9
ims,com.qa.ims.account,LoginMenu,94,0,2,0,17,0,6,0,5,0
ims,com.qa.ims.account,Account,1,169,2,14,1,44,2,11,0,5
ims,com.qa.ims.account,User,2,115,1,23,1,35,1,19,0,8
ims,com.qa.ims.account,UserDev,0,124,0,2,0,36,0,7,0,6
ims,com.qa.ims,IMS,161,61,28,0,63,13,26,2,6,2
ims,com.qa.ims,Runner,10,6,0,0,4,2,1,2,1,2
ims,com.qa.ims.persistence.dao,CustomerDAO,0,233,0,2,0,67,0,10,0,9
ims,com.qa.ims.persistence.dao,OrderDAO,20,456,0,4,8,125,0,20,0,18
ims,com.qa.ims.persistence.dao,ItemDAO,0,236,0,2,0,67,0,10,0,9
ims,com.qa.ims.utils,DBUtils,11,167,1,3,4,38,1,13,0,12
ims,com.qa.ims.utils,Utils,50,12,4,0,22,4,6,2,4,2
ims,com.qa.ims.persistence.domain,Order,17,114,0,22,1,36,1,19,1,8
ims,com.qa.ims.persistence.domain,Domain,105,0,2,0,17,0,6,0,5,0
ims,com.qa.ims.persistence.domain,Item,0,176,0,30,0,48,0,26,0,11
ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
ims,com.qa.ims.persistence.domain,Orders_items,10,160,5,25,5,37,5,17,0,7
